date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus,F1_pressConf,F2_pressConf,F3_pressConf,F4_pressConf,F5_pressConf,L1_pressConf,L2_pressConf,L3_pressConf,date_2
01jan2012,8,2.3025851,.125,.0875,.0875,0,.2315032397181516,.2315032397181516,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,1
02jan2012,5,1.6094379,.2,.2,.2,0,.4,.4,0,0,1,0,0,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2
03jan2012,12,2.5649493,.083333336,.2083333333333333,.2083333333333333,0,.3796013991310124,.3796013991310124,0,0,1,0,0,0,3,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
04jan2012,27,3.3322046,.048010975,.2592592592592592,.2592592592592592,.0740740740740741,.4382281320814531,.4382281320814531,.2618914004394621,0,1,0,0,0,4,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
05jan2012,0,,,,,,,,,0,1,0,0,0,5,25,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
06jan2012,2,.69314718,.5,0,0,0,0,0,0,0,1,0,0,0,6,36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
07jan2012,5,1.6094379,.2,.2,.2,0,.4000000000000001,.4000000000000001,0,0,1,0,0,0,7,49,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
08jan2012,7,1.9459101,.14285715,0,0,0,0,0,0,0,1,0,0,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
09jan2012,19,2.9444389,.069252074,.0526315789473684,.0526315789473684,0,.2232968782694361,.2232968782694361,0,0,1,0,0,0,9,81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
10jan2012,3,1.6094379,.33333334,.6999999999999998,.2333333333333333,0,1.11022302463e-16,.6599663291074443,0,0,1,0,0,0,10,100,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
11jan2012,11,2.4849067,.090909094,.0636363636363636,-.0636363636363636,0,.2012358511016241,.2012358511016241,0,0,1,0,0,0,11,121,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
12jan2012,123,4.882802,.014739903,.190650406504065,.0491869918699187,0,.3500493341244535,.3955537304234743,0,1,1,0,0,0,12,144,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13jan2012,30,3.4657359,.033333335,.0777777777777778,.0111111111111111,0,.2536158269002963,.2650413431528124,0,0,1,0,0,0,13,169,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
14jan2012,3,1.0986123,.33333334,0,0,0,0,0,0,0,1,0,0,0,14,196,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14
15jan2012,5,1.6094379,.2,.14,.14,0,.28,.28,0,0,1,0,0,0,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
16jan2012,27,3.3672957,.072702333,.2407407407407407,.1888888888888889,0,.3793359297502034,.4076430295076476,0,0,1,0,0,0,16,256,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
17jan2012,61,4.2195077,.016393442,.239344262295082,.2163934426229508,.0491803278688525,.3465420223966365,.3613183183428643,.2162443599716872,0,1,0,0,0,17,289,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
18jan2012,10,2.3025851,.12,.38,.24,0,.3893584466786357,.488262224629348,0,0,1,0,0,0,18,324,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
19jan2012,17,2.8332133,.065743946,.1323529411764706,.1323529411764706,0,.2874539228910733,.2874539228910733,0,0,1,1,0,0,19,361,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20jan2012,5,1.7917595,.2,0,0,0,0,0,0,0,1,0,0,0,20,400,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
21jan2012,10,2.3978953,.12,0,0,0,0,0,0,0,1,0,0,0,21,441,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
22jan2012,61,4.1743875,.036818057,.0114754098360656,.0114754098360656,0,.0888881423719735,.0888881423719735,0,0,1,0,0,0,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
23jan2012,9,2.3025851,.13580248,0,0,0,0,0,0,0,1,0,0,0,23,529,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
24jan2012,5,1.7917595,.2,.4,0,0,.4898979485566357,.6324555320336759,0,0,1,0,0,0,24,576,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
25jan2012,5,1.7917595,.2,0,0,0,0,0,0,0,1,0,0,0,25,625,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
26jan2012,10,2.3025851,.1,.2,.2,.1,.4000000000000001,.4000000000000001,.3,0,1,0,0,0,26,676,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
27jan2012,65,4.2195077,.020118343,.383076923076923,.1892307692307692,.1153846153846154,.4036636950460432,.5233393007109622,.2597222002482173,0,1,0,0,0,27,729,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
28jan2012,23,3.1354942,.066162571,.1760869565217391,.0065217391304348,0,.2135973279924631,.2767451927338996,0,0,1,0,0,0,28,784,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29jan2012,4,1.3862944,.25,.25,.25,0,.4330127018922193,.4330127018922193,0,0,1,0,0,0,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
30jan2012,4,1.3862944,.25,0,0,0,0,0,0,0,1,0,0,0,30,900,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
31jan2012,20,3.1780539,.050000001,.2,.2,.05,.4000000000000001,.4000000000000001,.2179449471770336,0,1,0,0,0,31,961,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
01feb2012,13,2.5649493,.088757403,.4615384615384616,.4615384615384616,0,.4985185152621431,.4985185152621431,0,0,2,0,0,0,32,1024,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
