date,TweetVolumeDaily,ln_tweetsDaily,H_daily,meanAbsPolarityDaily,meanPolarityDaily,meanSubjectivityDaily,stdAbsPolarityDaily,stdPolarityDaily,stdSubjectivityDaily,pressConf,month,EconBulletin,speechOtherBoard,speechPresident,n,n2,MonPolAccounts,tweetECB,whatever,dow,dec24,dec25,dec26,dec31,jan01,may01,may09,nov01,oct03,easterSun,easterMon,goodfriday,goodsat,ascension,whitMon,corpus
01jan2012,8,2.3025851,0.125,0.0875,0.0875,0,.2315032397181516,.2315032397181516,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0
02jan2012,5,1.6094379,0.2,0.2,0.2,0,0.4,0.4,0,0,1,0,0,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03jan2012,12,2.5649493,0.083333336,.2083333333333333,.2083333333333333,0,.3796013991310124,.3796013991310124,0,0,1,0,0,0,3,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04jan2012,27,3.3322046,0.048010975,.2592592592592592,.2592592592592592,0.074074074,.4382281320814531,.4382281320814531,.2618914004394621,0,1,0,0,0,4,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05jan2012,0,,,,,,,,,0,1,0,0,0,5,25,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06jan2012,2,0.69314718,0.5,0,0,0,0,0,0,0,1,0,0,0,6,36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07jan2012,5,1.6094379,0.2,0.2,0.2,0,.4000000000000001,.4000000000000001,0,0,1,0,0,0,7,49,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08jan2012,7,1.9459101,0.14285715,0,0,0,0,0,0,0,1,0,0,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09jan2012,19,2.9444389,0.069252074,0.052631579,0.052631579,0,.2232968782694361,.2232968782694361,0,0,1,0,0,0,9,81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10jan2012,3,1.6094379,0.33333334,.6999999999999998,.2333333333333333,0,1.11022302463e-16,.6599663291074443,0,0,1,0,0,0,10,100,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11jan2012,11,2.4849067,0.090909094,0.063636364,-0.063636364,0,.2012358511016241,.2012358511016241,0,0,1,0,0,0,11,121,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12jan2012,123,4.882802,0.014739903,0.190650407,0.049186992,0,.3500493341244535,.3955537304234743,0,1,1,0,0,0,12,144,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13jan2012,30,3.4657359,0.033333335,0.077777778,0.011111111,0,.2536158269002963,.2650413431528124,0,0,1,0,0,0,13,169,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14jan2012,3,1.0986123,0.33333334,0,0,0,0,0,0,0,1,0,0,0,14,196,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15jan2012,5,1.6094379,0.2,0.14,0.14,0,0.28,0.28,0,0,1,0,0,0,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16jan2012,27,3.3672957,0.072702333,.2407407407407407,.1888888888888889,0,.3793359297502034,.4076430295076476,0,0,1,0,0,0,16,256,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17jan2012,61,4.2195077,0.016393442,0.239344262,.2163934426229508,0.049180328,.3465420223966365,.3613183183428643,.2162443599716872,0,1,0,0,0,17,289,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18jan2012,10,2.3025851,0.12,0.38,0.24,0,.3893584466786357,0.488262225,0,0,1,0,0,0,18,324,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19jan2012,17,2.8332133,0.065743946,.1323529411764706,.1323529411764706,0,.2874539228910733,.2874539228910733,0,0,1,1,0,0,19,361,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20jan2012,5,1.7917595,0.2,0,0,0,0,0,0,0,1,0,0,0,20,400,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21jan2012,10,2.3978953,0.12,0,0,0,0,0,0,0,1,0,0,0,21,441,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22jan2012,61,4.1743875,0.036818057,0.01147541,0.01147541,0,0.088888142,0.088888142,0,0,1,0,0,0,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23jan2012,9,2.3025851,0.13580248,0,0,0,0,0,0,0,1,0,0,0,23,529,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24jan2012,5,1.7917595,0.2,0.4,0,0,.4898979485566357,.6324555320336759,0,0,1,0,0,0,24,576,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25jan2012,5,1.7917595,0.2,0,0,0,0,0,0,0,1,0,0,0,25,625,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26jan2012,10,2.3025851,0.1,0.2,0.2,0.1,.4000000000000001,.4000000000000001,0.3,0,1,0,0,0,26,676,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27jan2012,65,4.2195077,0.020118343,0.383076923,.1892307692307692,.1153846153846154,.4036636950460432,.5233393007109622,.2597222002482173,0,1,0,0,0,27,729,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28jan2012,23,3.1354942,0.066162571,.1760869565217391,0.006521739,0,.2135973279924631,.2767451927338996,0,0,1,0,0,0,28,784,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29jan2012,4,1.3862944,0.25,0.25,0.25,0,.4330127018922193,.4330127018922193,0,0,1,0,0,0,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30jan2012,4,1.3862944,0.25,0,0,0,0,0,0,0,1,0,0,0,30,900,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31jan2012,20,3.1780539,0.050000001,0.2,0.2,0.05,.4000000000000001,.4000000000000001,.2179449471770336,0,1,0,0,0,31,961,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01feb2012,13,2.5649493,0.088757403,.4615384615384616,.4615384615384616,0,.4985185152621431,.4985185152621431,0,0,2,0,0,0,32,1024,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02feb2012,6,1.9459101,0.22222224,.2333333333333333,-0.233333333,0,.3299831645537222,.3299831645537222,0,0,2,0,0,0,33,1089,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03feb2012,7,1.9459101,0.14285715,0.2,-0.2,0,.3162277660168379,.3162277660168379,0,0,2,0,0,0,34,1156,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04feb2012,5,1.6094379,0.28,0.14,-0.14,0,0.28,0.28,0,0,2,0,0,0,35,1225,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05feb2012,2,0.69314718,0.5,0,0,0,0,0,0,0,2,0,0,0,36,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06feb2012,14,2.6390574,0.091836743,.1214285714285714,.1214285714285714,0,.3027931199175235,.3027931199175235,0,0,2,0,1,0,37,1369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07feb2012,4,1.6094379,0.25,0.175,0.175,0,.3031088913245535,.3031088913245535,0,0,2,0,0,0,38,1444,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
